session_id,customer_id,device_type,start_ts,duration_s,events_count,conv_flag
243,13,Android,2025-06-13 22:55:38.652040,697,23,0
244,13,Android,2025-08-11 00:55:38.652040,1566,33,0
245,13,iOS,2025-07-25 13:55:38.652040,1560,39,0
246,13,iOS,2025-07-22 23:55:38.652040,719,6,0
247,13,Android,2025-07-15 17:55:38.652040,70,49,0
248,13,iOS,2025-07-19 23:55:38.652040,702,48,0
249,13,iOS,2025-08-10 04:55:38.652040,1395,18,0
250,13,iOS,2025-08-15 15:55:38.652040,895,45,0
251,13,Android,2025-08-06 20:55:38.652040,667,23,0
252,13,Android,2025-05-30 05:55:38.652040,435,32,0
253,13,Android,2025-06-26 08:55:38.652040,1147,16,0
254,13,iOS,2025-06-23 08:55:38.652040,549,18,0
255,13,iOS,2025-06-03 08:55:38.652040,603,46,0
256,13,iOS,2025-06-13 04:55:38.652040,1580,43,1
257,14,iOS,2025-07-09 14:55:38.652040,75,43,0
258,14,Web,2025-08-15 13:55:38.652040,1710,40,1
259,14,Android,2025-06-26 20:55:38.652040,1426,47,0
260,14,Web,2025-06-13 10:55:38.652040,125,12,0
261,14,Web,2025-07-24 15:55:38.652040,1482,22,0
262,14,Android,2025-06-13 00:55:38.652040,772,18,0
263,14,iOS,2025-07-16 05:55:38.652040,1158,14,1
264,14,Android,2025-05-26 12:55:38.652040,1038,12,1
265,14,iOS,2025-07-20 02:55:38.652040,893,45,1
266,14,iOS,2025-06-22 19:55:38.652040,333,33,0
267,14,Web,2025-07-16 06:55:38.652040,418,12,0
268,14,Android,2025-06-15 23:55:38.652040,1536,20,0
269,14,Android,2025-07-10 16:55:38.652040,850,10,0
270,14,Web,2025-07-14 04:55:38.652040,784,26,0
271,14,Web,2025-05-19 10:55:38.652040,513,33,0
272,14,iOS,2025-07-20 01:55:38.652040,1360,45,0
273,14,Web,2025-05-22 00:55:38.652040,132,18,0
274,14,iOS,2025-05-19 07:55:38.652040,1440,27,0
275,14,Android,2025-08-13 06:55:38.652040,1408,15,1
276,14,Web,2025-06-28 00:55:38.652040,1428,44,1
277,15,iOS,2025-07-12 18:55:38.652040,1091,49,0
278,15,iOS,2025-06-22 21:55:38.652040,389,11,0
279,15,Web,2025-06-06 14:55:38.652040,1261,36,0
280,15,Web,2025-05-24 01:55:38.652040,228,32,0
281,15,Android,2025-07-16 09:55:38.652040,1237,24,1
282,15,Android,2025-08-12 15:55:38.652040,650,8,0
283,15,Web,2025-05-28 16:55:38.652040,728,18,1
284,15,Web,2025-06-25 11:55:38.652040,807,44,0
285,15,iOS,2025-06-16 01:55:38.652040,1350,43,0
286,15,iOS,2025-05-23 08:55:38.652040,447,19,0
287,15,Android,2025-06-16 20:55:38.652040,1136,46,0
288,15,Android,2025-08-09 12:55:38.652040,171,28,0
289,15,iOS,2025-08-15 14:55:38.652040,1716,21,0
290,15,iOS,2025-08-10 12:55:38.652040,877,25,0
291,15,Web,2025-07-03 04:55:38.652040,1313,42,1
292,15,Web,2025-08-14 02:55:38.652040,623,14,0
293,15,Android,2025-06-28 09:55:38.652040,966,39,0
294,15,iOS,2025-08-03 08:55:38.652040,870,23,0
295,15,iOS,2025-08-16 08:55:38.652040,1163,12,0
296,15,Web,2025-06-01 03:55:38.652040,638,41,0
297,15,Web,2025-07-21 09:55:38.652040,449,17,0
298,15,Android,2025-07-11 00:55:38.652040,1327,42,0
299,15,Web,2025-07-20 03:55:38.652040,571,32,0
300,15,Android,2025-08-05 17:55:38.652040,718,17,0
301,16,Web,2025-05-27 07:55:38.652040,1695,31,0
302,16,iOS,2025-06-04 12:55:38.652040,483,28,0
303,16,Web,2025-08-12 21:55:38.652040,1230,47,0
304,16,iOS,2025-07-05 13:55:38.652040,1601,24,0
305,16,Web,2025-06-15 02:55:38.652040,1651,30,0
306,16,iOS,2025-06-23 14:55:38.652040,221,33,0
307,16,iOS,2025-07-28 07:55:38.652040,404,44,0
308,16,Web,2025-06-28 11:55:38.652040,448,35,0
309,16,Android,2025-08-01 03:55:38.652040,773,6,0
310,16,Android,2025-07-31 19:55:38.652040,524,37,1
311,16,Android,2025-06-15 16:55:38.652040,1109,19,0
312,16,Android,2025-08-01 23:55:38.652040,1368,46,0
313,16,iOS,2025-07-08 19:55:38.652040,1419,4,0
314,16,iOS,2025-07-22 05:55:38.652040,420,46,0
315,16,Android,2025-06-21 19:55:38.652040,438,27,0
316,16,Android,2025-07-20 11:55:38.652040,68,29,0
317,16,iOS,2025-05-26 02:55:38.652040,1434,21,0
318,16,Android,2025-08-15 08:55:38.652040,528,47,0
319,16,iOS,2025-07-14 10:55:38.652040,1753,13,0
320,17,Android,2025-08-02 04:55:38.652040,163,48,0
321,17,Web,2025-08-05 14:55:38.652040,376,28,0
322,17,Android,2025-06-04 07:55:38.652040,166,38,0
323,17,Web,2025-06-30 01:55:38.652040,549,39,0
324,17,Android,2025-08-05 01:55:38.652040,322,41,0
325,17,Web,2025-06-12 13:55:38.652040,1068,3,0
326,17,Web,2025-07-16 22:55:38.652040,1418,42,0
327,17,Android,2025-06-20 09:55:38.652040,1476,47,0
328,17,iOS,2025-07-08 04:55:38.652040,293,41,0
329,18,Web,2025-06-16 13:55:38.652040,280,38,0
330,18,Android,2025-07-15 05:55:38.652040,616,13,0
331,18,Android,2025-08-02 13:55:38.652040,503,18,0
332,18,Web,2025-06-20 13:55:38.652040,290,25,0
333,18,iOS,2025-07-31 23:55:38.652040,486,11,0
334,18,iOS,2025-05-20 02:55:38.652040,1398,20,0
335,18,Web,2025-05-20 01:55:38.652040,562,28,1
336,18,Web,2025-05-31 16:55:38.652040,1390,22,0
337,18,iOS,2025-08-15 18:55:38.652040,775,26,0
338,18,Android,2025-06-26 16:55:38.652040,1362,17,0
339,18,Web,2025-06-02 04:55:38.652040,1168,16,0
340,18,Android,2025-06-12 16:55:38.652040,1599,31,0
341,18,iOS,2025-06-28 09:55:38.652040,1156,17,0
342,18,Web,2025-07-31 02:55:38.652040,68,7,0
343,19,Android,2025-06-04 05:55:38.652040,1158,9,0
344,19,Android,2025-05-28 19:55:38.652040,1068,9,0
345,19,iOS,2025-07-30 03:55:38.652040,797,11,0
346,19,iOS,2025-06-12 13:55:38.652040,358,36,1
347,19,iOS,2025-06-17 23:55:38.652040,776,45,0
348,19,Android,2025-06-24 21:55:38.652040,1150,18,0
349,19,Android,2025-07-22 20:55:38.652040,1072,9,0
350,19,Web,2025-07-15 17:55:38.652040,647,36,0
351,19,iOS,2025-06-08 13:55:38.652040,474,45,0
352,19,iOS,2025-06-02 11:55:38.652040,1440,31,0
353,19,Web,2025-07-01 13:55:38.652040,287,42,0
354,19,iOS,2025-05-25 17:55:38.652040,916,33,0
355,19,Web,2025-06-06 10:55:38.652040,449,15,0
356,19,Android,2025-08-16 06:55:38.652040,932,41,1
357,19,Web,2025-06-13 18:55:38.652040,1457,39,0
358,19,Android,2025-07-27 13:55:38.652040,1036,34,0
359,19,Android,2025-06-15 18:55:38.652040,542,14,0
360,19,Web,2025-08-07 01:55:38.652040,680,6,0
361,19,Android,2025-07-08 20:55:38.652040,1625,18,0
362,19,Web,2025-08-06 18:55:38.652040,701,41,0
363,19,Web,2025-06-23 14:55:38.652040,1373,16,0
364,19,Web,2025-08-03 02:55:38.652040,1740,49,0
365,19,Web,2025-07-31 06:55:38.652040,186,42,0
366,19,iOS,2025-06-14 03:55:38.652040,350,36,0
367,19,Android,2025-06-15 05:55:38.652040,1423,48,0
368,19,Android,2025-07-05 21:55:38.652040,261,49,0
369,19,iOS,2025-08-15 17:55:38.652040,537,44,0
370,20,Web,2025-06-12 07:55:38.652040,855,30,0
371,20,Web,2025-07-20 07:55:38.652040,757,41,0
372,20,Android,2025-06-26 19:55:38.652040,1272,42,0
373,20,iOS,2025-05-21 15:55:38.652040,364,35,0
374,20,Android,2025-07-03 19:55:38.652040,1753,5,1
375,20,iOS,2025-05-19 06:55:38.652040,1654,32,0
376,20,iOS,2025-05-30 09:55:38.652040,1686,13,0
377,20,Web,2025-06-11 02:55:38.652040,1677,33,0
378,20,iOS,2025-06-16 06:55:38.652040,787,38,0
379,20,iOS,2025-07-20 00:55:38.652040,554,45,0
380,20,Android,2025-05-29 14:55:38.652040,86,24,0
381,20,iOS,2025-08-07 18:55:38.652040,727,29,1
382,20,Android,2025-08-15 23:55:38.652040,1549,4,0
383,20,Web,2025-07-23 00:55:38.652040,132,23,1
384,21,Web,2025-05-31 17:55:38.652040,1351,39,0
385,21,Android,2025-07-12 08:55:38.652040,805,10,0
386,21,Android,2025-07-25 07:55:38.652040,1036,14,0
387,21,Web,2025-08-05 20:55:38.652040,136,27,0
388,21,Web,2025-07-29 09:55:38.652040,60,16,0
389,21,Web,2025-08-10 15:55:38.652040,1076,8,0
390,21,Web,2025-06-15 13:55:38.652040,1499,38,0
391,21,Web,2025-06-30 21:55:38.652040,75,27,0
392,21,Web,2025-06-15 01:55:38.652040,146,48,0
393,21,Web,2025-05-31 22:55:38.652040,937,19,0
394,21,Android,2025-07-22 22:55:38.652040,344,17,0
395,21,Web,2025-08-10 03:55:38.652040,1246,6,0
396,21,Android,2025-05-24 02:55:38.652040,1317,21,0
397,21,Web,2025-06-18 06:55:38.652040,1659,49,0
398,21,Android,2025-07-20 04:55:38.652040,1342,26,1
399,21,iOS,2025-06-18 18:55:38.652040,1158,49,0
400,21,Android,2025-06-21 09:55:38.652040,148,27,0
401,21,iOS,2025-05-26 10:55:38.652040,960,44,0
402,21,Web,2025-07-25 01:55:38.652040,1183,33,0
403,21,iOS,2025-08-14 19:55:38.652040,887,5,0
404,21,iOS,2025-08-10 00:55:38.652040,197,42,0
405,21,Web,2025-07-03 16:55:38.652040,944,7,0
406,21,Web,2025-08-14 21:55:38.652040,556,10,1
407,21,iOS,2025-08-14 14:55:38.652040,99,33,1
408,21,Web,2025-06-02 02:55:38.652040,482,3,0
409,21,Web,2025-07-14 09:55:38.652040,1697,15,0
410,21,iOS,2025-05-24 12:55:38.652040,1578,9,0
411,21,Android,2025-07-28 23:55:38.652040,1218,39,0
412,22,iOS,2025-06-21 15:55:38.652040,891,17,0
413,22,Android,2025-08-09 22:55:38.652040,1071,33,0
414,22,Web,2025-07-14 01:55:38.652040,1122,5,0
415,22,Web,2025-07-03 07:55:38.652040,1478,36,0
416,22,iOS,2025-06-21 20:55:38.652040,1335,49,1
417,22,Android,2025-06-02 04:55:38.652040,797,46,0
418,22,iOS,2025-05-24 19:55:38.652040,603,24,0
419,22,Web,2025-06-23 10:55:38.652040,1285,15,0
420,22,Web,2025-07-27 12:55:38.652040,1355,37,0
421,22,Android,2025-08-07 02:55:38.652040,1514,22,0
422,22,Android,2025-06-03 16:55:38.652040,1733,13,0
423,22,iOS,2025-05-30 13:55:38.652040,1160,5,0
424,22,Android,2025-05-28 14:55:38.652040,574,21,0
425,22,Web,2025-08-08 03:55:38.652040,511,22,0
426,22,iOS,2025-08-05 10:55:38.652040,1739,49,0
427,22,Android,2025-06-05 15:55:38.652040,794,33,0
428,22,Android,2025-08-06 19:55:38.652040,47,20,0
429,22,Android,2025-06-21 04:55:38.652040,1561,6,0
430,22,Web,2025-06-05 21:55:38.652040,605,24,0
431,22,Web,2025-06-25 06:55:38.652040,495,37,0
432,22,Android,2025-07-20 07:55:38.652040,1285,10,0
433,22,Web,2025-05-26 01:55:38.652040,1193,24,0
434,23,Android,2025-05-26 20:55:38.652040,203,30,0
435,23,Web,2025-06-26 11:55:38.652040,210,37,0
436,23,Web,2025-08-15 23:55:38.652040,1390,38,0
437,23,iOS,2025-06-05 09:55:38.652040,1256,35,0
438,23,Web,2025-07-15 18:55:38.652040,1444,18,0
439,23,iOS,2025-05-19 00:55:38.652040,1689,22,0
440,23,iOS,2025-05-23 12:55:38.652040,81,16,0
441,23,iOS,2025-08-16 16:55:38.652040,232,27,0
442,23,Web,2025-07-22 11:55:38.652040,1168,26,0
443,23,Android,2025-07-07 02:55:38.652040,1404,37,0
444,23,Android,2025-06-02 22:55:38.652040,445,38,0
445,23,Android,2025-06-12 11:55:38.652040,1125,15,0
446,23,Android,2025-05-27 03:55:38.652040,710,39,1
447,23,Android,2025-07-26 18:55:38.652040,930,4,1
448,23,iOS,2025-08-10 22:55:38.652040,59,17,0
449,23,Web,2025-07-29 21:55:38.652040,317,24,0
450,23,Android,2025-08-09 14:55:38.652040,1322,30,0
451,24,Android,2025-06-21 21:55:38.652040,457,9,0
452,24,Android,2025-08-13 10:55:38.652040,1341,9,0
453,24,Web,2025-06-27 11:55:38.652040,834,37,0
454,24,Web,2025-07-26 18:55:38.652040,319,26,0
455,24,Web,2025-06-28 18:55:38.652040,1658,3,0
456,24,iOS,2025-07-20 12:55:38.652040,1246,16,0
457,24,Android,2025-08-14 23:55:38.652040,661,37,0
458,24,Android,2025-07-10 23:55:38.652040,999,22,0
459,24,iOS,2025-05-22 21:55:38.652040,1676,24,0
460,24,iOS,2025-08-13 18:55:38.652040,1018,44,0
461,24,iOS,2025-07-06 12:55:38.652040,311,16,0
462,24,iOS,2025-07-28 08:55:38.652040,1575,22,0
463,24,Android,2025-05-23 23:55:38.652040,1681,45,0
464,24,Web,2025-08-14 08:55:38.652040,122,29,0
465,24,Android,2025-07-14 11:55:38.652040,1658,9,1
466,24,iOS,2025-07-31 03:55:38.652040,57,40,0
467,24,Web,2025-06-11 14:55:38.652040,824,24,0
